id,url,reviewers,date,game,score
41,/articles/2000/05/25/1942-2,['Craig Harris'],2000-05-25T23:30:00.000Z,1942,5
42,/articles/2008/07/29/1942-joint-strike-review,['Hilary Goldstein'],2008-07-29T20:22:00.000Z,1942: Joint Strike Review,7
43,/articles/2008/07/23/1942-joint-strike-review-2,['Hilary Goldstein'],2008-07-23T23:50:00.000Z,1942: Joint Strike Review,7
44,/articles/2011/01/31/1942-review,['Lucas M. Thomas'],2011-01-31T23:30:00.000Z,1942 Review,5.5
45,/articles/2011/11/04/1950s-lawnmower-kids-review,['Lucas M. Thomas'],2011-11-04T06:57:00.000Z,1950s Lawnmower Kids Review,4.5
46,/articles/2016/04/21/1979-revolution-black-friday-review,['Chloi Rad'],2016-04-21T22:17:14.000Z,1979 Revolution: Black Friday Review,8
47,/articles/2011/06/27/1-bit-ninja-review,['Stephanie Lee'],2011-06-27T23:18:00.000Z,1-bit Ninja Review,8
48,/articles/2001/03/28/1nsane,[],2001-03-28T00:30:00.000Z,1nsane,7.1
49,/articles/2007/09/07/1-vs-100-review-2,['Levi Buchanan'],2007-09-07T21:23:00.000Z,1 vs. 100 Review,7.5
50,/articles/2008/08/01/1-vs-100-review,['Mike Pereira'],2008-08-01T19:00:00.000Z,1 vs. 100 Review,4.5
51,/articles/2002/04/23/2002-fifa-world-cup-4,['Jeremy Dunham'],2002-04-23T07:00:00.000Z,2002 FIFA World Cup,8.3
52,/articles/2002/05/30/2002-fifa-world-cup,['Mark Jones'],2002-05-30T07:00:00.000Z,2002 FIFA World Cup,9.3
53,/articles/2002/04/23/2002-fifa-world-cup-3,[],2002-04-23T07:00:00.000Z,2002 FIFA World Cup,8.2
54,/articles/2002/04/24/2002-fifa-world-cup-2,['Peer Schneider'],2002-04-24T07:00:00.000Z,2002 FIFA World Cup Review,8.2
55,/articles/2006/04/19/2006-fifa-world-cup-7,['Jonathan Miller'],2006-04-19T03:09:00.000Z,2006 FIFA World Cup,8.4
56,/articles/2006/04/19/2006-fifa-world-cup-4,['Jonathan Miller'],2006-04-19T04:06:00.000Z,2006 FIFA World Cup,8
57,/articles/2006/06/15/2006-fifa-world-cup,['Craig Harris'],2006-06-15T23:46:00.000Z,2006 FIFA World Cup,7.5
58,/articles/2006/04/19/2006-fifa-world-cup-6,['Jonathan Miller'],2006-04-19T03:36:00.000Z,2006 FIFA World Cup,8.4
59,/articles/2006/04/19/2006-fifa-world-cup-5,['Jonathan Miller'],2006-04-19T03:55:00.000Z,2006 FIFA World Cup,8.4
60,/articles/2006/04/19/2006-fifa-world-cup-3,['Jonathan Miller'],2006-04-19T04:11:00.000Z,2006 FIFA World Cup,8.4
61,/articles/2006/04/19/2006-fifa-world-cup-2,[],2006-04-19T23:45:00.000Z,2006 FIFA World Cup,7.8
62,/articles/2010/05/13/2010-fifa-world-cup-south-africa-iphone-review,['Levi Buchanan'],2010-05-13T20:22:00.000Z,2010 FIFA World Cup South Africa iPhone Review,4.5
63,/articles/2010/04/27/2010-fifa-world-cup-south-africa-review-3,['Nate Ahearn'],2010-04-27T00:33:00.000Z,2010 FIFA World Cup South Africa Review,8.3
64,/articles/2010/04/30/2010-fifa-world-cup-south-africa-review,['Nate Ahearn'],2010-04-30T00:19:00.000Z,2010 FIFA World Cup South Africa Review,6
65,/articles/2010/04/28/2010-fifa-world-cup-south-africa-review-2,['Nate Ahearn'],2010-04-28T23:31:00.000Z,2010 FIFA World Cup South Africa Review,6.5
66,/articles/2010/04/27/2010-fifa-world-cup-south-africa-review-4,['Nate Ahearn'],2010-04-27T00:29:00.000Z,2010 FIFA World Cup South Africa Review,8.3
67,/articles/2010/04/22/2010-fifa-world-cup-south-africa-uk-review,['Martin Robinson'],2010-04-22T10:00:00.000Z,2010 FIFA World Cup South Africa UK Review,8.7
68,/articles/2014/04/17/2014-fifa-world-cup-brazil-review,[],2014-04-17T09:29:41.000Z,2014 FIFA World Cup Brazil Review,7.5
69,/articles/2005/11/09/20q,['Levi Buchanan'],2005-11-09T00:15:00.000Z,20Q,7.7
70,/articles/2008/09/09/21-pro-blackjack-iphone-review,['George Roush'],2008-09-09T17:52:00.000Z,21 Pro Blackjack iPhone Review,7
71,/articles/2006/02/10/24,['Levi Buchanan'],2006-02-10T23:28:00.000Z,24,9
72,/articles/2010/07/20/247-solitaire-review,['Lucas M. Thomas'],2010-07-20T22:20:00.000Z,24/7 Solitaire Review,8
73,/articles/2007/01/05/24-agent-down-review,['Levi Buchanan'],2007-01-05T22:37:00.000Z,24: Agent Down Review,8
74,/articles/2009/04/04/24-special-ops-iphone-review,['Levi Buchanan'],2009-04-04T01:10:00.000Z,24: Special Ops iPhone Review,7.2
75,/articles/2008/02/05/24-special-ops-review,['Levi Buchanan'],2008-02-05T22:19:00.000Z,24: Special Ops Review,8
76,/articles/2006/03/02/24-the-game,['Chris Roper'],2006-03-02T11:30:00.000Z,24: The Game,4.2
77,/articles/2006/01/18/25-to-life,['Charles Onyett'],2006-01-18T00:30:00.000Z,25 to Life,3.1
78,/articles/2006/01/17/25-to-life-soundtrack-disc-01,[],2006-01-17T23:09:00.000Z,25 To Life Soundtrack - Disc 01,7.5
79,/articles/2006/01/17/25-to-life-soundtrack-disc-02,[],2006-01-17T23:14:00.000Z,25 To Life Soundtrack: Disc 02,7.2
80,/articles/2011/03/15/2bit-iphone-review,['Levi Buchanan'],2011-03-15T21:02:00.000Z,2Bit iPhone Review,7.5
81,/articles/2005/03/20/2-fast-2-furious,['Levi Buchanan'],2005-03-20T19:11:00.000Z,2 Fast 2 Furious,7.8
82,/articles/2009/10/23/2xl-atv-offroad-review,['Eduardo Vasconcellos'],2009-10-23T21:49:00.000Z,2XL ATV Offroad Review,7.2
83,/articles/2009/04/16/2xl-supercross-iphone-review,['Levi Buchanan'],2009-04-16T18:12:00.000Z,2XL Supercross iPhone Review,7.5
84,/articles/2007/02/13/2-xtreme-review,['Chris Roper'],2007-02-13T01:19:00.000Z,2 Xtreme Review,2.2
85,/articles/2007/03/06/300-march-to-glory-review,['Hilary Goldstein'],2007-03-06T00:13:00.000Z,300: March to Glory Review,5.7
86,/articles/2007/03/13/300-review,['Levi Buchanan'],2007-03-13T00:51:00.000Z,300 Review,8
87,/articles/2009/05/08/30-rock-mamma-mia-review,[],2009-05-08T12:50:00.000Z,"30 Rock: ""Mamma Mia"" Review",9.1
88,/articles/2009/09/30/3-2-1-rattle-battle-review,['Lucas M. Thomas'],2009-09-30T23:55:00.000Z,"3-2-1, Rattle Battle! Review",4.5
89,/articles/1998/01/29/3d-baseball,[],1998-01-29T08:00:00.000Z,3D Baseball (Saturn) Review,5
90,/articles/2011/06/13/3d-classics-excitebike-review,['Lucas M. Thomas'],2011-06-13T23:00:00.000Z,3D Classics: Excitebike Review,8
91,/articles/2011/11/18/3d-classics-kirbys-adventure-review,['Lucas M. Thomas'],2011-11-18T07:59:00.000Z,3D Classics: Kirby's Adventure Review,8
92,/articles/2011/09/23/3d-classics-twinbee-review,['Lucas M. Thomas'],2011-09-23T06:58:00.000Z,3D Classics: TwinBee Review,6
93,/articles/2011/08/19/3d-classics-urban-champion-review,['Lucas M. Thomas'],2011-08-19T06:52:00.000Z,3D Classics: Urban Champion Review,2.5
94,/articles/2011/07/22/3d-classics-xevious-review,['Lucas M. Thomas'],2011-07-22T06:59:00.000Z,3D Classics: Xevious Review,8
95,/articles/2010/04/16/3d-dot-game-heroes-review,['Samuel Claiborn'],2010-04-16T21:24:00.000Z,3D Dot Game Heroes Review,8.5
96,/articles/2009/08/20/3d-good-vs-evil-review,['Levi Buchanan'],2009-08-20T00:40:00.000Z,3D Good vs Evil Review,6.8
97,/articles/2009/04/08/3d-hunting-trophy-whitetail-iphone-review,['Levi Buchanan'],2009-04-08T22:43:00.000Z,3D Hunting Trophy Whitetail iPhone Review,7.9
98,/articles/2010/08/18/3d-mahjong-review,['Lucas M. Thomas'],2010-08-18T19:10:00.000Z,3D Mahjong Review,8
99,/articles/2011/07/18/3d-pixel-racing-review,['Lucas M. Thomas'],2011-07-18T15:49:00.000Z,3D Pixel Racing Review,6
100,/articles/2005/01/20/3d-pool,['Levi Buchanan'],2005-01-20T01:30:00.000Z,3D Pool,7.3
101,/articles/2005/11/19/3d-pool-urban-hustle,['Levi Buchanan'],2005-11-19T00:41:00.000Z,3D Pool Urban Hustle,8
102,/articles/2001/01/09/3d-roller-coaster-designer,[],2001-01-09T00:30:00.000Z,3D Roller Coaster Designer,3
103,/articles/2009/06/19/3d-rollercoaster-rush-review,['Levi Buchanan'],2009-06-19T00:25:00.000Z,3D Rollercoaster Rush Review,8
104,/articles/2004/04/14/3d-slam-ping-pong,['Levi Buchanan'],2004-04-14T23:31:00.000Z,3D Slam Ping Pong,7.5
105,/articles/2006/10/25/3d-tilt-a-world-review,['Levi Buchanan'],2006-10-25T22:38:00.000Z,3D Tilt-a-World Review,8
106,/articles/2007/04/18/3d-ultra-minigolf-adventures-review,['Jonathan Miller'],2007-04-18T21:08:00.000Z,3D Ultra Minigolf Adventures Review,7.5
107,/articles/1999/01/28/3d-ultra-nascar-pinball,[],1999-01-28T02:00:00.000Z,3D Ultra NASCAR Pinball,3
108,/articles/2001/02/03/3d-ultra-pinball-thrill-ride-2,['Nix'],2001-02-03T00:30:00.000Z,3D Ultra Pinball: Thrill Ride,5
109,/articles/2000/09/02/3d-ultra-pinball-thrill-ride,[],2000-09-02T00:00:00.000Z,3D Ultra Pinball: Thrill Ride,7.9
110,/articles/1999/12/22/3d-ultra-radio-control-racers,[],1999-12-22T01:00:00.000Z,3D Ultra Radio Control Racers,6.2
111,/articles/2008/09/03/3-d-vector-pong-iphone-review,['George Roush'],2008-09-03T17:45:00.000Z,3-D Vector Pong iPhone Review,6
112,/articles/2012/01/05/3-heroes-crystal-soul-review,['Lucas M. Thomas'],2012-01-05T23:24:00.000Z,3 Heroes - Crystal Soul Review,5
113,/articles/2009/02/05/3-on-3-nhl-arcade-review,['Hilary Goldstein'],2009-02-05T22:45:00.000Z,3 On 3 NHL Arcade Review,5.9
114,/articles/1999/04/22/3xtreme,['Doug Perry'],1999-04-22T01:00:00.000Z,3Xtreme,3
115,/articles/1999/12/23/40-winks-2,['Nix'],1999-12-23T01:00:00.000Z,40 Winks,5.5
116,/articles/2006/10/03/42-all-time-classics-review,['Matt Wales'],2006-10-03T15:51:00.000Z,42 All-Time Classics Review,8
117,/articles/2011/09/16/4-elements-hd-review,['Colin Moriarty'],2011-09-16T23:45:00.000Z,4 Elements HD Review,7.5
118,/articles/2012/02/09/4-elements-ii-review,[],2012-02-09T17:58:00.000Z,4 Elements II Review,7.5
119,/articles/2008/09/19/4-elements-review,[],2008-09-19T21:25:00.000Z,4 Elements Review,8
120,/articles/2010/07/22/4-travellers-play-french-review,['Lucas M. Thomas'],2010-07-22T00:00:00.000Z,4 Travellers - Play French Review,6
121,/articles/2010/03/10/4-travellers-play-spanish-review,['Lucas M. Thomas'],2010-03-10T05:53:00.000Z,4 Travellers - Play Spanish Review,6
122,/articles/2000/05/06/4-wheel-thunder,[],2000-05-06T00:00:00.000Z,4 Wheel Thunder,8.1
123,/articles/2002/09/18/4x4-evo-2,['Fran Mirabella III'],2002-09-18T07:00:00.000Z,4x4 Evo 2,5.3
124,/articles/2001/11/06/4x4-evo-2-2,[],2001-11-06T00:30:00.000Z,4x4 EVO 2,8.4
125,/articles/2001/03/20/4x4-evolution-6,[],2001-03-20T08:00:00.000Z,4x4 Evolution,5
126,/articles/2000/11/14/4x4-evolution,[],2000-11-14T01:00:00.000Z,4x4 Evolution,8.2
127,/articles/2000/11/01/4x4-evolution-3,[],2000-11-01T01:00:00.000Z,4x4 Evolution,7.5
128,/articles/2001/11/13/4x4-evolution-2,[],2001-11-13T00:30:00.000Z,4x4 Evolution 2,7.1
129,/articles/2009/02/22/50-cent-blood-on-the-sand-au-review,['Cam Shea'],2009-02-22T22:39:00.000Z,50 Cent: Blood on the Sand AU Review,7.5
130,/articles/2009/02/24/50-cent-blood-on-the-sand-review,['Hilary Goldstein'],2009-02-24T19:48:00.000Z,50 Cent: Blood on the Sand Review,7.1
131,/articles/2009/02/20/50-cent-blood-on-the-sand-uk-review,['Martin Robinson'],2009-02-20T08:01:00.000Z,50 Cent: Blood on the Sand UK Review,7.6
132,/articles/2005/11/22/50-cent-bulletproof,['Chris Roper'],2005-11-22T02:00:00.000Z,50 Cent: Bulletproof,6.5
133,/articles/2006/08/29/50-cent-bulletproof-g-unit-edition-review,['Chris Roper'],2006-08-29T00:00:00.000Z,50 Cent: Bulletproof G-Unit Edition Review,5
134,/articles/2010/04/27/5-arcade-gems-review,['Lucas M. Thomas'],2010-04-27T18:25:00.000Z,5 Arcade Gems Review,3
135,/articles/2004/09/23/5-card-draw-multiplayer,['Levi Buchanan'],2004-09-23T01:00:00.000Z,5-Card Draw Multiplayer,8.3
136,/articles/2009/10/23/5-spots-party-review,['Lucas M. Thomas'],2009-10-23T23:55:00.000Z,5 Spots Party Review,5
137,/articles/2005/03/26/6-shooter-showdown-poker,['Levi Buchanan'],2005-03-26T06:16:00.000Z,6 Shooter Showdown: Poker,7.8
138,/articles/2001/07/23/767-pilot-in-command,[],2001-07-23T23:30:00.000Z,767 Pilot In Command,8.5
139,/articles/2010/04/13/7-card-games-review,['Lucas M. Thomas'],2010-04-13T21:48:00.000Z,7 Card Games Review,5
140,/articles/2016/07/13/7-days-to-die-review,['Leif Johnson'],2016-07-13T23:48:58.000Z,7 Days to Die Review,4.9
141,/articles/2010/04/16/7-wonders-hd-ipad-review,['Levi Buchanan'],2010-04-16T20:02:00.000Z,7 Wonders HD iPad Review,7.4
142,/articles/2007/10/12/7-wonders-of-the-world-review,['Chris Adams'],2007-10-12T21:40:00.000Z,7 Wonders of the World Review,6.5
143,/articles/2007/05/07/7-wonders-review-3,['Jeff Haynes'],2007-05-07T20:51:00.000Z,7 Wonders Review,4.9
144,/articles/2007/05/23/7-wonders-review-2,['Levi Buchanan'],2007-05-23T19:21:00.000Z,7 Wonders Review,7
145,/articles/2007/12/11/7-wonders-review,['Jeff Haynes'],2007-12-11T04:03:00.000Z,7 Wonders Review,4.6
146,/articles/2008/11/06/7-wonders-treasures-of-seven-review,['Jimmy Thang'],2008-11-06T22:41:00.000Z,7 Wonders: Treasures of Seven Review,5.9
147,/articles/2006/01/13/80-days,['Steve Butts'],2006-01-13T23:22:00.000Z,80 Days,7
148,/articles/2014/12/04/80-days-review,['Mitch Dyer'],2014-12-04T21:24:41.000Z,80 Days Review ,9
149,/articles/2001/06/29/911-fire-rescue,[],2001-06-29T23:30:00.000Z,911 Fire Rescue,5.5
150,/articles/2005/04/16/989-sports-mlb,['Jason Allen'],2005-04-16T00:18:00.000Z,989 Sports MLB,8
151,/articles/2010/12/17/999-9-hours-9-persons-9-doors-review,['Lucas M. Thomas'],2010-12-17T00:45:00.000Z,"999: 9 Hours, 9 Persons, 9 Doors Review",9
152,/articles/2011/05/25/99bullets-review,['Lucas M. Thomas'],2011-05-25T21:00:00.000Z,99Bullets Review,8
153,/articles/2015/03/03/aarus-awakening-review,['Jon Ryan'],2015-03-03T02:04:33.000Z,Aaru's Awakening Review,6.7
154,/articles/2014/11/26/a-bird-story-review,['Cassidee Moser'],2014-11-26T18:26:46.000Z,A Bird Story Review,8.8
155,/articles/1999/12/02/abomination-the-nemesis-project,[],1999-12-02T01:00:00.000Z,Abomination: The Nemesis Project,5
156,/articles/2010/04/29/above-review,['Levi Buchanan'],2010-04-29T00:11:00.000Z,Above Review,7.5
157,/articles/2009/10/09/a-boy-and-his-blob-review,['Matt Casamassina'],2009-10-09T15:51:00.000Z,A Boy and his Blob Review,7.6
158,/articles/2009/11/26/a-boy-and-his-blob-trouble-on-blobolonia-review,['Lucas M. Thomas'],2009-11-26T00:55:00.000Z,A Boy and His Blob: Trouble on Blobolonia Review,4.5
159,/articles/2010/08/10/absolute-brickbuster-review,['Lucas M. Thomas'],2010-08-10T01:30:00.000Z,Absolute BrickBuster Review,7
160,/articles/2010/08/13/absolute-chess-review,['Lucas M. Thomas'],2010-08-13T22:20:00.000Z,Absolute Chess Review,7.5
161,/articles/2006/07/27/absolute-minesweeper,['Levi Buchanan'],2006-07-27T00:11:00.000Z,Absolute Minesweeper,7
162,/articles/2010/08/27/absolute-reversi-review,['Lucas M. Thomas'],2010-08-27T20:00:00.000Z,Absolute Reversi Review,7
163,/articles/2017/08/29/absolver-review,['Leif Johnson'],2017-08-29T13:00:38.000Z,Absolver Review,7.6
164,/articles/2000/02/09/a-bugs-life,[],2000-02-09T00:30:00.000Z,A Bug's Life,3
165,/articles/1998/11/20/a-bugs-life-2,['Randy Nelson'],1998-11-20T02:00:00.000Z,A Bug's Life,4
166,/articles/1999/06/02/a-bugs-life-4,['Matt Casamassina'],1999-06-02T00:00:00.000Z,A Bug's Life,6.8
167,/articles/2014/07/24/abyss-odyssey-review,['Richard Cobbett'],2014-07-24T18:37:55.000Z,Abyss Odyssey Review,6.7
168,/articles/2016/08/02/abzu-review,['Jose Otero'],2016-08-02T06:59:02.000Z,Abzu Review,8.4
169,/articles/2011/10/28/academy-checkers-review,['Lucas M. Thomas'],2011-10-28T06:57:00.000Z,Academy: Checkers Review,7
170,/articles/2009/11/12/academy-of-champions-soccer-review,['Nate Ahearn'],2009-11-12T23:01:00.000Z,Academy of Champions: Soccer Review,7
171,/articles/2008/11/06/acdc-live-rock-band-track-pack-review-2,['Hilary Goldstein'],2008-11-06T21:18:00.000Z,AC/DC Live: Rock Band Track Pack Review,6.5
172,/articles/2008/11/07/acdc-live-rock-band-track-pack-review,['Hilary Goldstein'],2008-11-07T22:18:00.000Z,AC/DC Live: Rock Band Track Pack Review,6.5
173,/articles/2009/01/16/acdc-live-rock-band-track-pack-review-3,['Hilary Goldstein'],2009-01-16T17:56:00.000Z,AC/DC Live: Rock Band Track Pack Review,5.5
174,/articles/2010/02/16/ace-attorney-investigations-miles-edgeworth-review,['Hilary Goldstein'],2010-02-16T22:00:00.000Z,Ace Attorney Investigations: Miles Edgeworth Review,7.6
175,/articles/1997/08/23/ace-combat-2,[],1997-08-23T00:00:00.000Z,Ace Combat 2,9
176,/articles/2000/03/14/ace-combat-3,['Sam Bishop'],2000-03-14T01:00:00.000Z,Ace Combat 3,9
177,/articles/2001/10/23/ace-combat-4-shattered-skies,['David Smith'],2001-10-23T07:00:00.000Z,Ace Combat 4: Shattered Skies,9.1
178,/articles/2004/10/26/ace-combat-5-the-unsung-war,['Ivan Sulic'],2004-10-26T02:03:00.000Z,Ace Combat 5: The Unsung War,9.3
179,/articles/2007/10/20/ace-combat-6-ace-edge-bundle-review,['Erik Brudvig'],2007-10-20T00:30:00.000Z,Ace Combat 6 Ace-Edge Bundle Review,8.4
180,/articles/2007/12/06/ace-combat-6-fires-of-liberation-au-review,['Bennett Ring'],2007-12-06T05:10:00.000Z,Ace Combat 6: Fires of Liberation AU Review,8.2
181,/articles/2007/10/20/ace-combat-6-review,['Erik Brudvig'],2007-10-20T00:00:00.000Z,Ace Combat 6 Review,8.4
182,/articles/2019/01/18/ace-combat-7-skies-unknown-review,['Mike Epstein'],2019-01-18T05:00:17.000Z,Ace Combat 7: Skies Unknown Review,7
183,/articles/2005/03/19/ace-combat-advance,['Craig Harris'],2005-03-19T01:44:00.000Z,Ace Combat Advance,4.5
184,/articles/2011/12/14/ace-combat-assault-horizon-legacy-review,['Lucas M. Thomas'],2011-12-14T01:28:00.000Z,Ace Combat: Assault Horizon Legacy Review,8
185,/articles/2011/10/14/ace-combat-assault-horizon-review,['Jack DeVries'],2011-10-14T05:30:00.000Z,Ace Combat: Assault Horizon Review,7.5
186,/articles/2010/09/10/ace-combat-joint-assault-review,['Ryan Geddes'],2010-09-10T20:45:00.000Z,Ace Combat: Joint Assault Review,6.5
187,/articles/2009/12/04/ace-combat-xi-review,['Eduardo Vasconcellos'],2009-12-04T23:25:00.000Z,Ace Combat Xi Review,6.8
188,/articles/2006/10/20/ace-combat-x-skies-of-deception-review,['Juan Castro'],2006-10-20T22:13:00.000Z,Ace Combat X: Skies of Deception Review,8.7
189,/articles/2006/04/21/ace-combat-zero-the-belkan-war,['Juan Castro'],2006-04-21T22:27:00.000Z,Ace Combat Zero: The Belkan War,8.8
190,/articles/2013/01/05/ace-of-spades-review,['Leif Johnson'],2013-01-05T01:46:12.000Z,Ace of Spades Review,5.9
191,/articles/2017/01/13/acer-gn246hl-144hz-gaming-monitor-review,['Seth G. Macy'],2017-01-13T00:40:28.000Z,Acer GN246HL 144Hz Gaming Monitor Review,6.8
192,/articles/2008/07/09/aces-of-the-galaxy-review,['Ryan Geddes'],2008-07-09T18:48:00.000Z,Aces of the Galaxy Review,7.5
193,/articles/2008/06/02/aces-of-the-galaxy-review-2,['Ryan Geddes'],2008-06-02T23:16:00.000Z,Aces of the Galaxy Review,8.4
194,/articles/2004/03/17/aces-of-wwi,['Levi Buchanan'],2004-03-17T23:30:00.000Z,Aces of WWI,8
195,/articles/2004/04/24/ace-yeti-trapper,['Levi Buchanan'],2004-04-24T00:53:00.000Z,Ace Yeti Trapper,8
196,/articles/2011/09/16/achron-review,[],2011-09-16T21:24:00.000Z,Achron Review,5
197,/articles/2000/08/05/action-bass,['David Zdyrko'],2000-08-05T00:00:00.000Z,Action Bass,5
198,/articles/2008/10/13/action-blox-review,['George Roush'],2008-10-13T17:20:00.000Z,Action Blox Review,6.4
199,/articles/2009/02/12/action-girlz-racing-review,['Lucas M. Thomas'],2009-02-12T00:55:00.000Z,Action Girlz Racing Review,0.8
200,/articles/2007/01/24/actionloop-uk-review,[],2007-01-24T18:22:00.000Z,Actionloop UK Review,7.8
201,/articles/2001/02/21/action-man-2,['Nix'],2001-02-21T00:30:00.000Z,Action Man,6
202,/articles/2006/02/09/action-octopus-3d,['Levi Buchanan'],2006-02-09T01:48:00.000Z,Action Octopus 3D,3
203,/articles/2009/09/04/active-life-extreme-challenge-review,['Jack DeVries'],2009-09-04T21:16:00.000Z,Active Life: Extreme Challenge Review,5
204,/articles/2002/11/21/activision-anthology-2,['Jeremy Dunham'],2002-11-21T08:00:00.000Z,Activision Anthology,8.5
205,/articles/2003/12/11/activision-anthology,['Craig Harris'],2003-12-11T23:55:00.000Z,Activision Anthology,8.5
206,/articles/1998/09/30/activision-classics,['Craig Harris'],1998-09-30T01:00:00.000Z,Activision Classics,2
