id,review_title,score,phrase,reviewer,reviewed_on,review_date,review_id,review_url,game_title,release_date,platform,genre,features,franchise,developer,publisher,game_id,game_url
33,1701 A.D. Gold Edition Review,8.3,great,Steve Butts,,2008-08-14,92cdab06-831f-4dec-adad-8f870fafa6ff,/articles/2008/08/14/1701-ad-gold-edition-review,1701 A.D.,2006-10-30,"['PC', 'Nintendo DS', 'Wii']",Simulation,"['Number Of Players', 'Online - VS Number Of Players', 'Multi-cartridge Multiplayer', 'Online', 'Local - VS # of Players']",,"['Sunflowers', 'Related Designs', 'Keen Games']","['Ubisoft', 'Aspyr', 'Deep Silver', 'Disney Interactive Studios', 'Touchstone']",fc65884b-28f8-4221-87d3-790566669227,/games/1701-ad
34,1701 A.D. Review,8.2,great,Dan Adams,,2006-10-31,ab5bf362-f648-4593-b34c-e07f5e595592,/articles/2006/10/31/1701-ad-review,1701 A.D.,2006-10-30,"['PC', 'Nintendo DS', 'Wii']",Simulation,"['Number Of Players', 'Online - VS Number Of Players', 'Multi-cartridge Multiplayer', 'Online', 'Local - VS # of Players']",,"['Sunflowers', 'Related Designs', 'Keen Games']","['Ubisoft', 'Aspyr', 'Deep Silver', 'Disney Interactive Studios', 'Touchstone']",fc65884b-28f8-4221-87d3-790566669227,/games/1701-ad
35,187 Ride or Die,5,mediocre,,,2005-08-26,fa7f7d58-dd51-4e96-ad6a-32fa0732e14c,/articles/2005/08/26/187-ride-or-die,187 Ride or Die,2005-08-23,"['PlayStation 2', 'Xbox', 'PC', 'GameCube']","['Action', 'Racing']","['Number Of Players', 'Memory Card', 'Dolby Digital 5.1', 'DualShock', 'Vibration', 'Stereo Surround']",,Ubisoft Paris,"['Ingram Entertainment', 'Ubisoft']",839a6036-72bc-4140-bea3-db0f2f0b1cea,/games/187-ride-or-die
36,18-Wheeler American Pro Trucker,7.8,good,,,2001-05-31,8922d8d0-606c-42fd-bb1c-1e4b68634c61,/articles/2001/05/31/18-wheeler-american-pro-trucker-4,18-Wheeler American Pro Trucker,2001-05-18,"['Dreamcast', 'PlayStation 2', 'GameCube']",Racing,"['Number Of Players', 'Memory Card', 'Vibration', 'Memory Blocks', 'Online', 'Steering Wheel Support']",,SEGA-AM2,"['SEGA', 'Acclaim Entertainment']",7bf20d95-09ed-4186-9e98-bd47132c8dae,/games/18-wheeler-american-pro-trucker
37,18-Wheeler: American Pro Trucker,5.5,mediocre,,,2001-11-14,77959cf9-c071-4f42-81f3-2971b38d1b1f,/articles/2001/11/14/18-wheeler-american-pro-trucker-2,18-Wheeler American Pro Trucker,2001-05-18,"['Dreamcast', 'PlayStation 2', 'GameCube']",Racing,"['Number Of Players', 'Memory Card', 'Vibration', 'Memory Blocks', 'Online', 'Steering Wheel Support']",,SEGA-AM2,"['SEGA', 'Acclaim Entertainment']",7bf20d95-09ed-4186-9e98-bd47132c8dae,/games/18-wheeler-american-pro-trucker
38,18-Wheeler American Pro Trucker (Import),6.7,okay,,,2000-10-16,45030533-79dc-475d-ab97-7f9edf1ae97f,/articles/2000/10/16/18-wheeler-american-pro-trucker-import,18-Wheeler American Pro Trucker,2001-05-18,"['Dreamcast', 'PlayStation 2', 'GameCube']",Racing,"['Number Of Players', 'Memory Card', 'Vibration', 'Memory Blocks', 'Online', 'Steering Wheel Support']",,SEGA-AM2,"['SEGA', 'Acclaim Entertainment']",7bf20d95-09ed-4186-9e98-bd47132c8dae,/games/18-wheeler-american-pro-trucker
39,18-Wheeler American Pro Trucker Review,5,mediocre,Matt Casamassina,,2002-03-05,46efdcf3-fa44-4117-9807-3bba0a009b3e,/articles/2002/03/05/18-wheeler-american-pro-trucker-review,18-Wheeler American Pro Trucker,2001-05-18,"['Dreamcast', 'PlayStation 2', 'GameCube']",Racing,"['Number Of Players', 'Memory Card', 'Vibration', 'Memory Blocks', 'Online', 'Steering Wheel Support']",,SEGA-AM2,"['SEGA', 'Acclaim Entertainment']",7bf20d95-09ed-4186-9e98-bd47132c8dae,/games/18-wheeler-american-pro-trucker
40,1942,4.5,bad,Levi Buchanan,,2006-03-07,07c25422-2877-4130-a42f-eca95a2df694,/articles/2006/03/07/1942,1942,1986-12-31,"['NES', 'Game Boy Color', 'Wireless', 'iPhone', 'Wii', 'Sinclair ZX Spectrum', 'Commodore 64/128', 'Amstrad/Schneider CPC', 'Arcade']","['Shooter', 'Flight', 'Action']",Number Of Players,,"['Capcom', 'Digital Eclipse Software', 'Lavastorm Engineering', 'Capcom Production Studio 5', 'Elite Systems Ltd.']","['Capcom', 'Elite Systems Ltd.', 'Encore Software (2)']",178aa934-953a-4506-a47d-6068259ceb85,/games/1942
41,1942,5,mediocre,Craig Harris,,2000-05-25,773dcd99-033c-4aa6-afd3-1fa6c1cb6a5b,/articles/2000/05/25/1942-2,1942,1986-12-31,"['NES', 'Game Boy Color', 'Wireless', 'iPhone', 'Wii', 'Sinclair ZX Spectrum', 'Commodore 64/128', 'Amstrad/Schneider CPC', 'Arcade']","['Shooter', 'Flight', 'Action']",Number Of Players,,"['Capcom', 'Digital Eclipse Software', 'Lavastorm Engineering', 'Capcom Production Studio 5', 'Elite Systems Ltd.']","['Capcom', 'Elite Systems Ltd.', 'Encore Software (2)']",178aa934-953a-4506-a47d-6068259ceb85,/games/1942
42,1942: Joint Strike Review,7,good,Hilary Goldstein,,2008-07-29,b196683b-021b-439f-87fb-aefbb865adaa,/articles/2008/07/29/1942-joint-strike-review,1942: Joint Strike,2008-07-23,"['Xbox 360', 'PlayStation 3']",Shooter,"['Local - Co-Op # of Players', 'Online', 'Online - Co-Op Number Of Players', '16:9', '720p', 'Number Of Players']",,Backbone Entertainment,Capcom,846079de-0773-4de7-8d7f-4726e7870fa2,/games/1942-joint-strike
43,1942: Joint Strike Review,7,good,Hilary Goldstein,,2008-07-23,ce4f03c7-c7e8-463c-84f8-86c77fc01951,/articles/2008/07/23/1942-joint-strike-review-2,1942: Joint Strike,2008-07-23,"['Xbox 360', 'PlayStation 3']",Shooter,"['Local - Co-Op # of Players', 'Online', 'Online - Co-Op Number Of Players', '16:9', '720p', 'Number Of Players']",,Backbone Entertainment,Capcom,846079de-0773-4de7-8d7f-4726e7870fa2,/games/1942-joint-strike
44,1942 Review,5.5,mediocre,Lucas M. Thomas,,2011-01-31,0fad610b-8de7-47d3-8aff-1321d75532c4,/articles/2011/01/31/1942-review,1942,1986-12-31,"['NES', 'Game Boy Color', 'Wireless', 'iPhone', 'Wii', 'Sinclair ZX Spectrum', 'Commodore 64/128', 'Amstrad/Schneider CPC', 'Arcade']","['Shooter', 'Flight', 'Action']",Number Of Players,,"['Capcom', 'Digital Eclipse Software', 'Lavastorm Engineering', 'Capcom Production Studio 5', 'Elite Systems Ltd.']","['Capcom', 'Elite Systems Ltd.', 'Encore Software (2)']",178aa934-953a-4506-a47d-6068259ceb85,/games/1942
45,1950s Lawnmower Kids Review,4.5,bad,Lucas M. Thomas,,2011-11-04,9d513adf-e17e-4289-b47e-378c1ff5762e,/articles/2011/11/04/1950s-lawnmower-kids-review,1950's Lawnmower Kids,2011-11-03,Nintendo DSi,Strategy,Number Of Players,,,Zordix,840684b4-ac52-402c-92c4-4ac97e84f136,/games/1950s-lawnmower-kids
46,1979 Revolution: Black Friday Review,8,great,Chloi Rad,,2016-04-21,9fb80bb3-6bb3-471c-b96b-b417278f9029,/articles/2016/04/21/1979-revolution-black-friday-review,1979 Revolution: Black Friday,2016-04-05,"['Macintosh', 'PC', 'PlayStation 4', 'Nintendo Switch', 'Xbox One', 'Android']","['Action', 'Adventure']",,,Ink Stories,Digerati Distribution,23c7b453-38c3-4ee1-be45-508156a15301,/games/1979-the-game
47,1-bit Ninja Review,8,great,Stephanie Lee,,2011-06-27,b9f5a4e4-2801-4c19-968a-581a832f91e8,/articles/2011/06/27/1-bit-ninja-review,1-bit Ninja,2011-06-23,iPhone,Platformer,Number Of Players,,Independent,Independent,6c26097f-2cb7-43cd-a2a3-13d33ce76652,/games/1-bit-ninja
48,1nsane,7.1,good,,,2001-03-28,a1153594-8f18-48db-8dbf-9105c09f149d,/articles/2001/03/28/1nsane,1nsane,2001-03-26,PC,Racing,"['Number Of Players', 'Online']",,Invictus,Codemasters,b3a00975-17f2-46eb-b9e6-0c5e3fef2a25,/games/1nsane
49,1 vs. 100 Review,7.5,good,Levi Buchanan,,2007-09-07,aa3b8da3-276b-406a-982a-d945ea939d10,/articles/2007/09/07/1-vs-100-review-2,1 vs. 100,2007-12-31,"['Wireless', 'Nintendo DS', 'iPhone', 'TV game systems', 'Android', 'DVD / HD Video Game']",Trivia,Number Of Players,,"['Gameloft', 'Mattel  Interactive', 'JAKKS Pacific']","['Gameloft', 'Mattel  Interactive', 'JAKKS Pacific']",fa913132-d8cb-443a-ae56-12f6b0f44000,/games/1-vs-100
50,1 vs. 100 Review,4.5,bad,Mike Pereira,,2008-08-01,f24e68e9-7280-4cd5-95dd-a859dc481bea,/articles/2008/08/01/1-vs-100-review,1 vs. 100,2007-12-31,"['Wireless', 'Nintendo DS', 'iPhone', 'TV game systems', 'Android', 'DVD / HD Video Game']",Trivia,Number Of Players,,"['Gameloft', 'Mattel  Interactive', 'JAKKS Pacific']","['Gameloft', 'Mattel  Interactive', 'JAKKS Pacific']",fa913132-d8cb-443a-ae56-12f6b0f44000,/games/1-vs-100
51,2002 FIFA World Cup,8.3,great,Jeremy Dunham,,2002-04-23,10cc1cb6-51e9-4eae-b5bf-2cc0473d37e3,/articles/2002/04/23/2002-fifa-world-cup-4,2002 FIFA World Cup,2002-04-22,"['PlayStation 2', 'PC', 'GameCube', 'Xbox']",Sports,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', '480p', 'Online', 'Dolby Digital 5.1']",FIFA,"['Electronic Arts', 'EA Canada', 'Software Creations']",Electronic Arts,6c8d0192-4035-43bc-be54-9b67cc76021c,/games/2002-fifa-world-cup
52,2002 FIFA World Cup,9.3,amazing,Mark Jones,,2002-05-30,5010a5cb-67dc-4c2e-904a-311b2d91c984,/articles/2002/05/30/2002-fifa-world-cup,2002 FIFA World Cup,2002-04-22,"['PlayStation 2', 'PC', 'GameCube', 'Xbox']",Sports,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', '480p', 'Online', 'Dolby Digital 5.1']",FIFA,"['Electronic Arts', 'EA Canada', 'Software Creations']",Electronic Arts,6c8d0192-4035-43bc-be54-9b67cc76021c,/games/2002-fifa-world-cup
53,2002 FIFA World Cup,8.2,great,,,2002-04-23,9789304f-f972-499f-9451-2cfd90d7a8d5,/articles/2002/04/23/2002-fifa-world-cup-3,2002 FIFA World Cup,2002-04-22,"['PlayStation 2', 'PC', 'GameCube', 'Xbox']",Sports,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', '480p', 'Online', 'Dolby Digital 5.1']",FIFA,"['Electronic Arts', 'EA Canada', 'Software Creations']",Electronic Arts,6c8d0192-4035-43bc-be54-9b67cc76021c,/games/2002-fifa-world-cup
54,2002 FIFA World Cup Review,8.2,great,Peer Schneider,,2002-04-24,e55f8345-2cc9-45a4-8605-1add935be16f,/articles/2002/04/24/2002-fifa-world-cup-2,2002 FIFA World Cup,2002-04-22,"['PlayStation 2', 'PC', 'GameCube', 'Xbox']",Sports,"['Number Of Players', 'Memory Card', 'Vibration', 'DualShock', 'Memory Blocks', '480p', 'Online', 'Dolby Digital 5.1']",FIFA,"['Electronic Arts', 'EA Canada', 'Software Creations']",Electronic Arts,6c8d0192-4035-43bc-be54-9b67cc76021c,/games/2002-fifa-world-cup
55,2006 FIFA World Cup,8.4,great,Jonathan Miller,,2006-04-19,3af9b164-e849-47cd-81f0-6e90c4e5430f,/articles/2006/04/19/2006-fifa-world-cup-7,2006 FIFA World Cup [HD],2006-04-24,"['PC', 'Xbox 360']",Sports,"['Number Of Players', 'Memory Card', 'Online - VS Number Of Players', '480p', '720p', 'Online', 'Local - VS # of Players', 'Dolby Digital 5.1']",FIFA,EA Canada,"['Ingram Entertainment', 'Electronic Arts']",4620fdec-46f2-4b74-a4a9-61a3eabac6fc,/games/2006-fifa-world-cup-hd
56,2006 FIFA World Cup,8,great,Jonathan Miller,,2006-04-19,63180bab-e322-48b5-a24a-fa5452aed073,/articles/2006/04/19/2006-fifa-world-cup-4,2006 FIFA World Cup,2006-04-24,"['PlayStation 2', 'GameCube', 'Xbox']",Sports,"['Number Of Players', 'Memory Card', 'Online - Co-Op Number Of Players', 'Local - VS # of Players', 'Local - Co-Op # of Players']",FIFA,EA Canada,"['Ingram Entertainment', 'Electronic Arts']",d9163397-525e-41c2-bc6e-809870eb2d58,/games/2006-fifa-world-cup
57,2006 FIFA World Cup,7.5,good,Craig Harris,,2006-06-15,80fd5140-2cbc-49a3-b8b6-b3600348853c,/articles/2006/06/15/2006-fifa-world-cup,2006 FIFA World Cup [DS],2006-04-24,Nintendo DS,Sports,"['Number Of Players', 'Multi-cartridge Multiplayer']",FIFA,"['EA Canada', 'Exient']","['Ingram Entertainment', 'Electronic Arts']",29057055-03e4-421a-942c-28b79d2118fe,/games/2006-fifa-world-cup-ds
